time,n,spearman_r,spearman_p,spearman_ci,pearson_r,pearson_p,pearson_ci,ols_beta,ols_se,ols_p,response,predictor
0,30,0.280978865,0.132560893,"[-0.09, 0.58]",0.305109348,0.101108235,"[-0.06, 0.60]",0.005153054,0.003039568,0.101108235,log_nfl,infarct_volume_max_imp
1,33,0.355949198,0.042046403,"[0.01, 0.62]",0.361280208,0.038854118,"[0.02, 0.63]",0.004918823,0.002280159,0.038854118,log_nfl,infarct_volume_max_imp
3,33,0.573195187,0.000489045,"[0.29, 0.77]",0.490323114,0.003770159,"[0.18, 0.71]",0.006030155,0.001925098,0.003770159,log_nfl,infarct_volume_max_imp
5,25,0.706923077,7.79E-05,"[0.43, 0.86]",0.688190499,0.000143244,"[0.40, 0.85]",0.009691907,0.002130552,0.000143244,log_nfl,infarct_volume_max_imp
overall,121,0.393836953,7.85E-06,"[0.23, 0.53]",0.331740395,0.000201523,"[0.16, 0.48]",,,,log_nfl,infarct_volume_max_imp
0,30,-0.251612903,0.179830176,"[-0.56, 0.12]",-0.253152728,0.177091585,"[-0.56, 0.12]",-1.475598722,1.065674428,0.177091585,log_nfl,csf_ratio_min_imp
1,33,-0.395922121,0.022560075,"[-0.65, -0.06]",-0.363859783,0.037381283,"[-0.63, -0.02]",-1.746991258,0.803224814,0.037381283,log_nfl,csf_ratio_min_imp
3,33,-0.576752739,0.000442499,"[-0.77, -0.29]",-0.509729281,0.002444807,"[-0.73, -0.20]",-2.214880238,0.671424735,0.002444807,log_nfl,csf_ratio_min_imp
5,25,-0.675384615,0.00021186,"[-0.85, -0.38]",-0.655550994,0.000374785,"[-0.83, -0.35]",-2.916260061,0.700470098,0.000374785,log_nfl,csf_ratio_min_imp
overall,121,-0.381976594,1.54E-05,"[-0.52, -0.22]",-0.318494823,0.000370493,"[-0.47, -0.15]",,,,log_nfl,csf_ratio_min_imp
0,30,-0.246273637,0.18955615,"[-0.56, 0.13]",-0.212448788,0.259695432,"[-0.53, 0.16]",-1.326000097,1.152607353,0.259695432,log_nfl,csf_ratio_fu24_imp
1,33,-0.400601656,0.020874219,"[-0.65, -0.07]",-0.321335017,0.068234615,"[-0.60, 0.02]",-1.685901419,0.892334054,0.068234615,log_nfl,csf_ratio_fu24_imp
3,33,-0.605498456,0.000188757,"[-0.79, -0.33]",-0.504442748,0.002757874,"[-0.72, -0.19]",-2.392161528,0.735415066,0.002757874,log_nfl,csf_ratio_fu24_imp
5,25,-0.716923077,5.52E-05,"[-0.87, -0.45]",-0.651096955,0.000423646,"[-0.83, -0.34]",-3.246032621,0.789009016,0.000423646,log_nfl,csf_ratio_fu24_imp
overall,121,-0.380119625,1.70E-05,"[-0.52, -0.22]",-0.290098891,0.001248041,"[-0.45, -0.12]",,,,log_nfl,csf_ratio_fu24_imp
0,30,0.250278087,0.182228114,"[-0.12, 0.56]",0.243517948,0.194716665,"[-0.13, 0.56]",0.333978623,0.25138191,0.194716665,log_nfl,ct_factor_1_imp
1,33,0.398729947,0.021535551,"[0.06, 0.65]",0.349997286,0.045856201,"[0.01, 0.62]",0.397823809,0.191235836,0.045856201,log_nfl,ct_factor_1_imp
3,33,0.59959893,0.000226317,"[0.32, 0.78]",0.512756343,0.002279841,"[0.21, 0.73]",0.527196534,0.158539778,0.002279841,log_nfl,ct_factor_1_imp
5,25,0.703076923,8.86E-05,"[0.43, 0.86]",0.664269823,0.000293153,"[0.36, 0.84]",0.712893379,0.16727198,0.000293153,log_nfl,ct_factor_1_imp
overall,121,0.385094509,1.29E-05,"[0.22, 0.53]",0.311630063,0.00050252,"[0.14, 0.46]",,,,log_nfl,ct_factor_1_imp
