delta,d,p,mann_p,cliff_delta,n_ref,n_other,ref_group,comp_group,time,comparison,response,categorical_var
0.9573,0.7304,0.0476,0.0265,0.4842,13,17,Female,Male,0,Female - Male,log_nfl,sex
0.0246,0.0223,0.9484,0.9856,0.0074,15,18,Female,Male,1,Female - Male,log_nfl,sex
0.0277,0.0281,0.9362,0.8997,-0.0294,16,17,Female,Male,3,Female - Male,log_nfl,sex
-0.0972,-0.0947,0.8138,0.8918,-0.0385,12,13,Female,Male,5,Female - Male,log_nfl,sex
0.2894,0.2147,0.2311,0.307,0.1082,56,65,Female,Male,overall,Female - Male,log_nfl,sex
-1.0229,-0.7714,0.019,0.0545,-0.4907,7,23,Black,Caucasian,0,Black - Caucasian,log_nfl,race
-1.0645,-1.069,0.011,0.0118,-0.59,8,25,Black,Caucasian,1,Black - Caucasian,log_nfl,race
-0.4155,-0.4274,0.2368,0.3295,-0.2527,7,26,Black,Caucasian,3,Black - Caucasian,log_nfl,race
-0.1268,-0.1236,0.7905,0.8362,-0.0635,7,18,Black,Caucasian,5,Black - Caucasian,log_nfl,race
-0.6408,-0.4828,0.0302,0.0233,-0.2804,29,92,Black,Caucasian,overall,Black - Caucasian,log_nfl,race
0.0411,0.0293,0.9392,0.6625,0.0982,16,14,Left,Right,0,Left - Right,log_nfl,left_laterality
-0.2683,-0.2456,0.4893,0.6268,-0.1029,17,16,Left,Right,1,Left - Right,log_nfl,left_laterality
-0.3025,-0.3101,0.3894,0.4586,-0.1556,18,15,Left,Right,3,Left - Right,log_nfl,left_laterality
-0.5507,-0.5575,0.1874,0.212,-0.3067,15,10,Left,Right,5,Left - Right,log_nfl,left_laterality
-0.1849,-0.1367,0.4666,0.4035,-0.0887,66,55,Left,Right,overall,Left - Right,log_nfl,left_laterality
-1.1791,-0.8729,0.0003,0.0606,-0.679,27,3,Recanalized,Not_recanalized,0,Recanalized - Not_recanalized,log_nfl,recan
0.3518,0.3213,0.4242,0.7296,0.1207,29,4,Recanalized,Not_recanalized,1,Recanalized - Not_recanalized,log_nfl,recan
0.0581,0.0588,0.8656,1,0,29,4,Recanalized,Not_recanalized,3,Recanalized - Not_recanalized,log_nfl,recan
-0.3465,-0.3389,0.479,0.6,-0.2609,23,2,Recanalized,Not_recanalized,5,Recanalized - Not_recanalized,log_nfl,recan
-0.1704,-0.1258,0.535,0.5384,-0.1054,108,13,Recanalized,Not_recanalized,overall,Recanalized - Not_recanalized,log_nfl,recan
-1.0095,-0.775,0.0312,0.0596,-0.4167,12,18,Lytics,No_lytics,0,Lytics - No_lytics,log_nfl,lytics
-0.5172,-0.4839,0.159,0.437,-0.163,15,18,Lytics,No_lytics,1,Lytics - No_lytics,log_nfl,lytics
-0.3857,-0.3985,0.2625,0.3344,-0.203,14,19,Lytics,No_lytics,3,Lytics - No_lytics,log_nfl,lytics
-0.2285,-0.2238,0.6135,0.6687,-0.1176,8,17,Lytics,No_lytics,5,Lytics - No_lytics,log_nfl,lytics
-0.6221,-0.4713,0.0111,0.0126,-0.2681,49,72,Lytics,No_lytics,overall,Lytics - No_lytics,log_nfl,lytics
0.891,0.6678,0.086,0.1746,0.3228,21,9,Former_or_current,Never,0,Former_or_current - Never,log_nfl,smoking_binary
0.7722,0.7433,0.0142,0.0328,0.4783,23,10,Former_or_current,Never,1,Former_or_current - Never,log_nfl,smoking_binary
0.8497,0.9421,0.0134,0.0361,0.4696,23,10,Former_or_current,Never,3,Former_or_current - Never,log_nfl,smoking_binary
0.7317,0.7594,0.0689,0.1244,0.3971,17,8,Former_or_current,Never,5,Former_or_current - Never,log_nfl,smoking_binary
0.7928,0.6077,0.0014,0.0031,0.3385,84,37,Former_or_current,Never,overall,Former_or_current - Never,log_nfl,smoking_binary
